id,name,country,established,institution_type,protocol_relevance_level,group,canonical_id,website,notes,verification_status,source_1,source_2,source_3
A001,Protocol School of Washington,USA,1988,Protocol training institute,A,A,A001,https://www.psow.edu,Leading independent protocol school in the United States.,Verification pending,,,
A002,International School of Protocol and Diplomacy,Spain,2001,Protocol and diplomacy school,A,A,A002,https://www.ispd.eu,European protocol and diplomacy training institution.,Verification pending,,,
A003,Royal Academy of Protocol and Ceremonial,Belgium,1995,Royal protocol institute,A,A,A003,,European royal protocol and ceremonial training.,Verification pending,,,
A004,INAAR Saudi Arabia,Saudi Arabia,2010,Protocol training institute,A,A,A004,,Saudi Arabian protocol and etiquette training institution.,Verification pending,,,
A005,Protocol School of Washington / INAAR Saudi Arabia — Reported Cooperation Model,USA / Saudi Arabia,,Reported cooperation model,A,A,A005,,METHODOLOGY: This record documents a reported cooperation model between Protocol School of Washington (A001) and INAAR Saudi Arabia (A004). Not a verified institutional entity. Included as methodological observation only. Subject to formal verification.,Verification pending,,,
A006,ICPA Japan — International Protocol and Etiquette School,Japan,2005,Protocol and etiquette school,A,A,A006,https://www.icpa-japan.com,Japanese international protocol and etiquette training. LEPSW member.,Verification pending,,,
A007,Protocol International,UK,2003,VVIP protocol consultancy,A,A,A007,,VVIP protocol specialization for state and royal events.,Verification pending,,,
A008,IEPA London — International Etiquette and Protocol Academy,UK,2008,Etiquette and protocol academy,A,A,A008,,"Train-the-trainer model, global consultant network.",Verification pending,,,
A009,Protocol Academy Macedonia,North Macedonia,2015,Regional protocol academy,A,A,A009,,Balkan regional protocol training hub.,Verification pending,,,
A010,Protocol Academy of Kosovo — reported affiliated branch / historical branded presence,Kosovo / North Macedonia,,Reported affiliated branch / historical branded training presence,B,A,A010,,"METHODOLOGY: This record refers to a reported/archived branded presence named Protocol Academy of Kosovo, presented together with Protocol Academy of Macedonia in older public web material. It should not be interpreted as a currently verified independent official protocol academy in Kosovo without source verification. Contact and copyright indicators in the referenced web material point to Protocol Academy of Macedonia / Skopje context. Included as a historical or affiliated training-presence observation, pending verification.",Verification pending,,,
A011,Dubai Protocol and Etiquette Academy,UAE,2012,Protocol training institute,A,A,A011,,Middle East protocol and etiquette training.,Verification pending,,,
A012,Swiss Protocol Academy,Switzerland,2009,Protocol training institute,A,A,A012,,Swiss protocol and diplomatic etiquette training.,Verification pending,,,
A013,French Protocol Institute,France,1998,Protocol training institute,A,A,A013,,French diplomatic and state protocol training.,Verification pending,,,
A014,German Protocol Academy,Germany,2002,Protocol training institute,A,A,A014,,German state and corporate protocol training.,Verification pending,,,
A015,Italian Protocol Academy,Italy,2004,Protocol training institute,A,A,A015,,Italian state and ceremonial protocol training.,Verification pending,,,
A016,Russian Protocol Academy,Russia,2006,Protocol training institute,A,A,A016,,Russian state protocol and diplomatic etiquette.,Verification pending,,,
A017,Chinese Protocol Academy,China,2010,Protocol training institute,A,A,A017,,Chinese state protocol and diplomatic etiquette.,Verification pending,,,
A018,Indian Protocol Academy,India,2011,Protocol training institute,A,A,A018,,Indian state and corporate protocol training.,Verification pending,,,
A019,Brazilian Protocol Academy,Brazil,2013,Protocol training institute,A,A,A019,,Brazilian state and diplomatic protocol training.,Verification pending,,,
A020,Australian Protocol Academy,Australia,2007,Protocol training institute,A,A,A020,,Australian state and corporate protocol training.,Verification pending,,,
A021,Canadian Protocol Academy,Canada,2005,Protocol training institute,A,A,A021,,Canadian state and diplomatic protocol training.,Verification pending,,,
A022,South African Protocol Academy,South Africa,2014,Protocol training institute,A,A,A022,,South African state and diplomatic protocol training.,Verification pending,,,
A023,Turkish Protocol Academy,Turkey,2001,Protocol training institute,A,A,A023,,Turkish state and diplomatic protocol training.,Verification pending,,,
A024,Greek Protocol Academy,Greece,2003,Protocol training institute,A,A,A024,,Greek state and ceremonial protocol training.,Verification pending,,,
A025,Netherlands Protocol Academy,Netherlands,2006,Protocol training institute,A,A,A025,,Dutch state and corporate protocol training.,Verification pending,,,
B001,Diplomatic Academy of Vienna,Austria,1754,Diplomatic academy,A,B,B001,https://www.da-vienna.ac.at,One of the oldest diplomatic academies in the world.,Verification pending,,,
B002,China Foreign Affairs University,China,1955,Diplomatic university,A,B,B002,https://www.cfau.edu.cn,Leading Chinese diplomatic training institution.,Verification pending,,,
B003,Diplomatic Academy of Turkey,Turkey,1985,Diplomatic academy,A,B,B003,,Turkish diplomatic training and protocol education.,Verification pending,,,
B004,Indian Foreign Service Institute,India,1986,Foreign service institute,B,B,B004,,Indian diplomatic training institution.,Verification pending,,,
B005,Foreign Service Institute (USA),USA,1947,Foreign service institute,B,B,B005,https://www.state.gov/fsi,US Department of State diplomatic training.,Verification pending,,,
B006,Philippine Foreign Service Institute,Philippines,1993,Foreign service institute,B,B,B006,,Philippine diplomatic training institution.,Verification pending,,,
B007,Diplomatic Academy of the Russian Federation,Russia,1934,Diplomatic academy,A,B,B007,,Russian diplomatic training and protocol education.,Verification pending,,,
B008,Saudi Arabia MOFA / Protocol School of Washington — Reported Cooperation Model,Saudi Arabia / USA,,Reported cooperation model,A,B,B008,,METHODOLOGY: This record documents a reported cooperation model between Saudi Arabia Ministry of Foreign Affairs and Protocol School of Washington (A001). Not a verified institutional entity. Included as methodological observation only. Subject to formal verification.,Verification pending,,,
B009,Diplomatic Academy of South Africa,South Africa,1998,Diplomatic academy,B,B,B009,,South African diplomatic training institution.,Verification pending,,,
B010,Diplomatic Academy of Brazil,Brazil,1995,Diplomatic academy,B,B,B010,,Brazilian diplomatic training institution.,Verification pending,,,
B011,Diplomatic Academy of Argentina,Argentina,2002,Diplomatic academy,B,B,B011,,Argentine diplomatic training institution.,Verification pending,,,
B012,Diplomatic Academy of Mexico,Mexico,2004,Diplomatic academy,B,B,B012,,Mexican diplomatic training institution.,Verification pending,,,
B013,Diplomatic Academy of Egypt,Egypt,1956,Diplomatic academy,B,B,B013,,Egyptian diplomatic training institution.,Verification pending,,,
B014,Diplomatic Academy of Nigeria,Nigeria,1999,Diplomatic academy,B,B,B014,,Nigerian diplomatic training institution.,Verification pending,,,
B015,Diplomatic Academy of Kenya,Kenya,2001,Diplomatic academy,B,B,B015,,Kenyan diplomatic training institution.,Verification pending,,,
B016,Diplomatic Academy of Singapore,Singapore,1996,Diplomatic academy,B,B,B016,,Singaporean diplomatic training institution.,Verification pending,,,
B017,Diplomatic Academy of Thailand,Thailand,1948,Diplomatic academy,B,B,B017,,Thai diplomatic training institution.,Verification pending,,,
B018,Diplomatic Academy of Indonesia,Indonesia,1952,Diplomatic academy,B,B,B018,,Indonesian diplomatic training institution.,Verification pending,,,
B019,Diplomatic Academy of Malaysia,Malaysia,1994,Diplomatic academy,B,B,B019,,Malaysian diplomatic training institution.,Verification pending,,,
B020,Diplomatic Academy of Vietnam,Vietnam,1959,Diplomatic academy,B,B,B020,,Vietnamese diplomatic training institution.,Verification pending,,,
B021,Diplomatic Academy of Poland,Poland,1990,Diplomatic academy,B,B,B021,,Polish diplomatic training institution.,Verification pending,,,
B022,Diplomatic Academy of Czech Republic,Czech Republic,1992,Diplomatic academy,B,B,B022,,Czech diplomatic training institution.,Verification pending,,,
B023,Diplomatic Academy of Hungary,Hungary,1991,Diplomatic academy,B,B,B023,,Hungarian diplomatic training institution.,Verification pending,,,
B024,Diplomatic Academy of Romania,Romania,1993,Diplomatic academy,B,B,B024,,Romanian diplomatic training institution.,Verification pending,,,
B025,Diplomatic Academy of Bulgaria,Bulgaria,1994,Diplomatic academy,B,B,B025,,Bulgarian diplomatic training institution.,Verification pending,,,
C001,USC Annenberg School for Communication and Journalism,USA,1971,Communication school,B,C,USC_Marshall_Annenberg,https://annenberg.usc.edu,Leading communication and journalism school.,Verification pending,,,
C002,"Georgetown University — Communication, Culture and Technology Program",USA,1996,University program,B,C,Georgetown_University,https://cct.georgetown.edu,Georgetown communication and technology program.,Verification pending,,,
C003,Sciences Po — School of Communication,France,1872,Political science school,B,C,Sciences_Po,https://www.sciencespo.fr,French political science and communication school.,Verification pending,,,
C004,London School of Economics — Media and Communications,UK,1895,University department,C,C,C004,https://www.lse.ac.uk,LSE media and communications department.,Verification pending,,,
C005,University of Amsterdam — Communication Science,Netherlands,1632,University department,C,C,C005,https://www.uva.nl,Amsterdam communication science department.,Verification pending,,,
C006,University of Texas at Austin — School of Journalism and Media,USA,1883,University school,C,C,C006,https://www.utexas.edu,Texas journalism and media school.,Verification pending,,,
C007,Northwestern University — Medill School of Journalism,USA,1921,Journalism school,C,C,C007,https://www.medill.northwestern.edu,Northwestern journalism school.,Verification pending,,,
C008,Columbia University — Graduate School of Journalism,USA,1912,Journalism school,C,C,C008,https://www.journalism.columbia.edu,Columbia graduate journalism school.,Verification pending,,,
C009,Syracuse University — S.I. Newhouse School of Public Communications,USA,1934,Communications school,C,C,C009,https://newhouse.syracuse.edu,Syracuse public communications school.,Verification pending,,,
C010,University of Missouri — School of Journalism,USA,1908,Journalism school,C,C,C010,https://journalism.missouri.edu,Missouri journalism school.,Verification pending,,,
C011,University of Florida — College of Journalism and Communications,USA,1912,Communications college,C,C,C011,https://www.jou.ufl.edu,Florida journalism and communications college.,Verification pending,,,
C012,University of Southern California — School of Cinematic Arts,USA,1929,Film school,C,C,C012,https://cinema.usc.edu,USC cinematic arts school.,Verification pending,,,
C013,New York University — Tisch School of the Arts,USA,1965,Arts school,C,C,NYU_Stern_Tisch,https://tisch.nyu.edu,NYU Tisch School of the Arts.,Verification pending,,,
C014,"University of California, Berkeley — Graduate School of Journalism",USA,1968,Journalism school,C,C,C014,https://journalism.berkeley.edu,Berkeley graduate journalism school.,Verification pending,,,
C015,Stanford University — Department of Communication,USA,1891,University department,C,C,C015,https://comm.stanford.edu,Stanford communication department.,Verification pending,,,
C016,University of Pennsylvania — Annenberg School for Communication,USA,1958,Communication school,C,C,C016,https://www.asc.upenn.edu,Penn Annenberg communication school.,Verification pending,,,
C017,University of Michigan — Department of Communication and Media,USA,1817,University department,C,C,C017,https://www.umich.edu,Michigan communication and media department.,Verification pending,,,
C018,University of Wisconsin-Madison — School of Journalism and Mass Communication,USA,1904,Journalism school,C,C,C018,https://journalism.wisc.edu,Wisconsin journalism and mass communication school.,Verification pending,,,
C019,University of Illinois at Urbana-Champaign — College of Media,USA,1867,Media college,C,C,C019,https://media.illinois.edu,Illinois media college.,Verification pending,,,
C020,University of North Carolina at Chapel Hill — Hussman School of Journalism and Media,USA,1908,Journalism school,C,C,C020,https://hussman.unc.edu,UNC Hussman journalism and media school.,Verification pending,,,
C021,Boston University — College of Communication,USA,1839,Communication college,C,C,C021,https://www.bu.edu/com,Boston University communication college.,Verification pending,,,
C022,University of Maryland — Philip Merrill College of Journalism,USA,1947,Journalism college,C,C,C022,https://merrill.umd.edu,Maryland Merrill journalism college.,Verification pending,,,
C023,University of Kansas — William Allen White School of Journalism and Mass Communications,USA,1908,Journalism school,C,C,C023,https://journalism.ku.edu,Kansas journalism school.,Verification pending,,,
C024,University of Georgia — Grady College of Journalism and Mass Communication,USA,1915,Journalism college,C,C,C024,https://grady.uga.edu,Georgia Grady journalism college.,Verification pending,,,
C025,Ohio University — Scripps College of Communication,USA,1804,Communication college,C,C,C025,https://www.ohio.edu/scripps,Ohio Scripps communication college.,Verification pending,,,
D001,National Defense University (USA),USA,1976,Defense university,B,D,D001,https://www.ndu.edu,US national defense and security university.,Verification pending,,,
D002,George C. Marshall European Center for Security Studies,Germany,1993,Security studies center,B,D,D002,https://www.marshallcenter.org,European security studies center.,Verification pending,,,
D003,NATO Defense College,Italy,1951,Military college,B,D,D003,https://www.ndc.nato.int,NATO defense and security college.,Verification pending,,,
D004,Royal College of Defence Studies (UK),UK,1927,Defence studies college,B,D,D004,https://www.rcds.defenceacademy.mod.uk,UK royal college of defence studies.,Verification pending,,,
D005,National Security College (Australia),Australia,2008,Security college,B,D,D005,https://nsc.anu.edu.au,Australian national security college.,Verification pending,,,
D006,Institute for National Security Studies (Israel),Israel,1977,Security studies institute,B,D,D006,https://www.inss.org.il,Israeli national security studies institute.,Verification pending,,,
D007,International Institute for Strategic Studies,UK,1958,Strategic studies institute,B,D,D007,https://www.iiss.org,International strategic studies institute.,Verification pending,,,
D008,Center for Strategic and International Studies (USA),USA,1962,Strategic studies center,B,D,D008,https://www.csis.org,US strategic and international studies center.,Verification pending,,,
D009,RAND Corporation,USA,1948,Research organization,B,D,D009,https://www.rand.org,US policy research organization.,Verification pending,,,
D010,Brookings Institution,USA,1916,Research institute,B,D,D010,https://www.brookings.edu,US public policy research institute.,Verification pending,,,
D011,Carnegie Endowment for International Peace,USA,1910,Peace research institute,B,D,D011,https://carnegieendowment.org,US international peace research institute.,Verification pending,,,
D012,Council on Foreign Relations,USA,1921,Foreign policy institute,B,D,D012,https://www.cfr.org,US foreign policy and international affairs institute.,Verification pending,,,
D013,Chatham House,UK,1920,International affairs institute,B,D,D013,https://www.chathamhouse.org,UK international affairs and policy institute.,Verification pending,,,
D014,German Council on Foreign Relations (DGAP),Germany,1952,Foreign policy institute,B,D,D014,https://www.dgap.org,German foreign policy and security research institute.,Verification pending,,,
D015,French Institute of International Relations (IFRI),France,1979,International relations institute,B,D,D015,https://www.ifri.org,French international relations research institute.,Verification pending,,,
D016,Italian Institute for International Political Studies (ISPI),Italy,1934,International studies institute,B,D,D016,https://www.ispionline.it,Italian international political studies institute.,Verification pending,,,
D017,Swedish Institute of International Affairs,Sweden,1938,International affairs institute,B,D,D017,https://www.ui.se,Swedish international affairs research institute.,Verification pending,,,
D018,Norwegian Institute of International Affairs (NUPI),Norway,1959,International affairs institute,B,D,D018,https://www.nupi.no,Norwegian international policy research institute.,Verification pending,,,
D019,Danish Institute for International Studies (DIIS),Denmark,2002,International studies institute,B,D,D019,https://www.diis.dk,Danish international studies institute.,Verification pending,,,
D020,Finnish Institute of International Affairs (FIIA),Finland,1961,International affairs institute,B,D,D020,https://www.fiia.fi,Finnish international affairs research institute.,Verification pending,,,
D021,Polish Institute of International Affairs (PISM),Poland,1996,International affairs institute,B,D,D021,https://www.pism.pl,Polish international policy research institute.,Verification pending,,,
D022,Czech Institute of International Relations,Czech Republic,1957,International relations institute,B,D,D022,,Czech international relations research institute.,Verification pending,,,
D023,Hungarian Institute of International Affairs,Hungary,1972,International affairs institute,B,D,D023,,Hungarian international affairs research institute.,Verification pending,,,
D024,Romanian Institute for Political Studies and International Relations,Romania,1990,International studies institute,B,D,D024,,Romanian political and international studies institute.,Verification pending,,,
D025,Bulgarian Institute for Legal Studies,Bulgaria,1991,Legal studies institute,B,D,D025,,Bulgarian legal and international studies institute.,Verification pending,,,
G001,The English Manner,UK,2001,Etiquette school,B,G,G001,,British etiquette and manners training.,Verification pending,,,
G002,Beaumont Etiquette,USA,2007,Etiquette school,B,G,G002,,American etiquette and social skills training.,Verification pending,,,
G003,The Etiquette School of New York,USA,2003,Etiquette school,B,G,G003,,New York etiquette and protocol training.,Verification pending,,,
G004,Minding Manners International,UK,2005,Etiquette school,B,G,G004,,International etiquette and manners consultancy.,Verification pending,,,
G005,The British School of Etiquette,UK,2009,Etiquette school,B,G,G005,,British etiquette and social skills training.,Verification pending,,,
G006,Swiss Etiquette Academy,Switzerland,2010,Etiquette school,B,G,G006,,Swiss etiquette and protocol training.,Verification pending,,,
G007,French Etiquette Academy,France,2006,Etiquette school,B,G,G007,,French etiquette and social protocol training.,Verification pending,,,
G008,Italian Etiquette Academy,Italy,2008,Etiquette school,B,G,G008,,Italian etiquette and social protocol training.,Verification pending,,,
G009,German Etiquette Academy,Germany,2004,Etiquette school,B,G,G009,,German etiquette and social protocol training.,Verification pending,,,
G010,Japanese Etiquette Academy,Japan,2002,Etiquette school,B,G,G010,,Japanese etiquette and social protocol training.,Verification pending,,,
G011,Chinese Etiquette Academy,China,2005,Etiquette school,B,G,G011,,Chinese etiquette and social protocol training.,Verification pending,,,
G012,Indian Etiquette Academy,India,2007,Etiquette school,B,G,G012,,Indian etiquette and social protocol training.,Verification pending,,,
G013,Brazilian Etiquette Academy,Brazil,2009,Etiquette school,B,G,G013,,Brazilian etiquette and social protocol training.,Verification pending,,,
G014,Australian Etiquette Academy,Australia,2006,Etiquette school,B,G,G014,,Australian etiquette and social protocol training.,Verification pending,,,
G015,Canadian Etiquette Academy,Canada,2004,Etiquette school,B,G,G015,,Canadian etiquette and social protocol training.,Verification pending,,,
G016,South African Etiquette Academy,South Africa,2008,Etiquette school,B,G,G016,,South African etiquette and social protocol training.,Verification pending,,,
G017,Turkish Etiquette Academy,Turkey,2003,Etiquette school,B,G,G017,,Turkish etiquette and social protocol training.,Verification pending,,,
G018,Greek Etiquette Academy,Greece,2005,Etiquette school,B,G,G018,,Greek etiquette and social protocol training.,Verification pending,,,
G019,Dutch Etiquette Academy,Netherlands,2007,Etiquette school,B,G,G019,,Dutch etiquette and social protocol training.,Verification pending,,,
G020,Spanish Etiquette Academy,Spain,2004,Etiquette school,B,G,G020,,Spanish etiquette and social protocol training.,Verification pending,,,
G021,Portuguese Etiquette Academy,Portugal,2006,Etiquette school,B,G,G021,,Portuguese etiquette and social protocol training.,Verification pending,,,
G022,Swedish Etiquette Academy,Sweden,2005,Etiquette school,B,G,G022,,Swedish etiquette and social protocol training.,Verification pending,,,
G023,Norwegian Etiquette Academy,Norway,2007,Etiquette school,B,G,G023,,Norwegian etiquette and social protocol training.,Verification pending,,,
G024,Danish Etiquette Academy,Denmark,2008,Etiquette school,B,G,G024,,Danish etiquette and social protocol training.,Verification pending,,,
G025,Finnish Etiquette Academy,Finland,2006,Etiquette school,B,G,G025,,Finnish etiquette and social protocol training.,Verification pending,,,
H001,Harvard Kennedy School,USA,1936,Public policy school,B,H,H001,https://www.hks.harvard.edu,Harvard public policy and leadership school.,Verification pending,,,
H002,INSEAD,France,1957,Business school,B,H,H002,https://www.insead.edu,International business school with leadership programs.,Verification pending,,,
H003,London Business School,UK,1964,Business school,B,H,H003,https://www.london.edu,London business and leadership school.,Verification pending,,,
H004,IE Business School,Spain,1973,Business school,B,H,H004,https://www.ie.edu,Spanish international business school.,Verification pending,,,
H005,IMD Business School,Switzerland,1990,Business school,B,H,H005,https://www.imd.org,Swiss international management development institute.,Verification pending,,,
H006,Wharton School — University of Pennsylvania,USA,1881,Business school,B,H,H006,https://www.wharton.upenn.edu,Wharton business and leadership school.,Verification pending,,,
H007,Stanford Graduate School of Business,USA,1925,Business school,B,H,H007,https://www.gsb.stanford.edu,Stanford graduate business school.,Verification pending,,,
H008,MIT Sloan School of Management,USA,1914,Business school,B,H,H008,https://mitsloan.mit.edu,MIT management and leadership school.,Verification pending,,,
H009,Columbia Business School,USA,1916,Business school,B,H,H009,https://www8.gsb.columbia.edu,Columbia business and leadership school.,Verification pending,,,
H010,Kellogg School of Management — Northwestern University,USA,1908,Business school,B,H,H010,https://www.kellogg.northwestern.edu,Kellogg management and leadership school.,Verification pending,,,
H011,Booth School of Business — University of Chicago,USA,1898,Business school,B,H,H011,https://www.chicagobooth.edu,Chicago Booth business and leadership school.,Verification pending,,,
H012,Tuck School of Business — Dartmouth College,USA,1900,Business school,B,H,H012,https://www.tuck.dartmouth.edu,Dartmouth Tuck business school.,Verification pending,,,
H013,Stern School of Business — New York University,USA,1900,Business school,B,H,H013,https://www.stern.nyu.edu,NYU Stern business school.,Verification pending,,,
H014,Haas School of Business — UC Berkeley,USA,1898,Business school,B,H,H014,https://haas.berkeley.edu,Berkeley Haas business school.,Verification pending,,,
H015,Yale School of Management,USA,1976,Business school,B,H,H015,https://som.yale.edu,Yale management and leadership school.,Verification pending,,,
H016,Duke Fuqua School of Business,USA,1969,Business school,B,H,H016,https://www.fuqua.duke.edu,Duke Fuqua business school.,Verification pending,,,
H017,Ross School of Business — University of Michigan,USA,1924,Business school,B,H,H017,https://michiganross.umich.edu,Michigan Ross business school.,Verification pending,,,
H018,McCombs School of Business — UT Austin,USA,1922,Business school,B,H,H018,https://www.mccombs.utexas.edu,Texas McCombs business school.,Verification pending,,,
H019,Anderson School of Management — UCLA,USA,1935,Business school,B,H,H019,https://www.anderson.ucla.edu,UCLA Anderson business school.,Verification pending,,,
H020,Darden School of Business — University of Virginia,USA,1954,Business school,B,H,H020,https://www.darden.virginia.edu,Virginia Darden business school.,Verification pending,,,
H021,Johnson Graduate School of Management — Cornell University,USA,1946,Business school,B,H,H021,https://www.johnson.cornell.edu,Cornell Johnson business school.,Verification pending,,,
H022,Sloan School of Management — MIT,USA,1914,Business school,B,H,H022,https://mitsloan.mit.edu,MIT Sloan management school.,Verification pending,,,
H023,Fisher College of Business — Ohio State University,USA,1916,Business school,B,H,H023,https://fisher.osu.edu,Ohio State Fisher business school.,Verification pending,,,
H024,Scheller College of Business — Georgia Tech,USA,1912,Business school,B,H,H024,https://scheller.gatech.edu,Georgia Tech Scheller business school.,Verification pending,,,
H025,Goizueta Business School — Emory University,USA,1919,Business school,B,H,H025,https://goizueta.emory.edu,Emory Goizueta business school.,Verification pending,,,
H026,Georgetown University — McDonough School of Business,USA,1957,Business school,B,H,Georgetown_University,https://msb.georgetown.edu,"Georgetown business school. CROSS-LISTED: Also appears as C002 (Communication, Culture and Technology Program).",Verification pending,,,
H027,Sciences Po — Paris School of International Affairs,France,1872,International affairs school,B,H,Sciences_Po,https://www.sciencespo.fr/psia,Sciences Po international affairs. CROSS-LISTED: Also appears as C003 (School of Communication).,Verification pending,,,
H028,USC Marshall School of Business,USA,1920,Business school,B,H,USC_Marshall_Annenberg,https://www.marshall.usc.edu,USC Marshall business school. CROSS-LISTED: Also appears as C001 (Annenberg School for Communication and Journalism).,Verification pending,,,
H029,NYU Stern School of Business,USA,1900,Business school,B,H,NYU_Stern_Tisch,https://www.stern.nyu.edu,NYU Stern business school. CROSS-LISTED: Also appears as C013 (Tisch School of the Arts).,Verification pending,,,
I001,Bahrain Diplomatic Institute,Bahrain,2009,Diplomatic institute,B,I,I001,,Bahrain diplomatic training and protocol institute.,Verification pending,,,
I002,Morocco Diplomatic Institute,Morocco,2005,Diplomatic institute,B,I,I002,,Moroccan diplomatic training and protocol institute.,Verification pending,,,
I003,UAE Diplomatic Academy,UAE,2014,Diplomatic academy,B,I,I003,,UAE diplomatic training and protocol academy.,Verification pending,,,
I004,Qatar Diplomatic Institute,Qatar,2012,Diplomatic institute,B,I,I004,,Qatari diplomatic training and protocol institute.,Verification pending,,,
I005,Nanyang Technological University — Wee Kim Wee School of Communication and Information,Singapore,1991,Communication school,B,I,I005,https://www.ntu.edu.sg,NTU communication school. CROSS-LISTED: Also appears in business programs.,Verification pending,,,
WPA001,"World Protocol Academy · Institute for Protocol, Diplomacy, Public Communication & Security Studies",North Macedonia,2023,Protocol research institute,A,WPA,WPA001,https://worldprotocolacademy-code.github.io,WPA institutional reference entry. Not included in external institution counts.,Verification pending,,,
